Epoch,Avg. Loss,PSNR,SSIM
1,2563.3402006596957,-34.08806248581619,0.8147203922271729
2,849.4174335551871,-29.291211702632314,0.8115431070327759
3,832.4671615923074,-29.203671108623936,0.8156630396842957
4,822.6373790702777,-29.152084391327293,0.8227068781852722
5,817.6578273412516,-29.125715985527627,0.8433545231819153
6,813.7927992569327,-29.105138427342542,0.8378178477287292
7,810.282142477916,-29.08636267749813,0.7921711802482605
8,807.0635930656458,-29.06907756567641,0.8130142688751221
9,803.9783702167176,-29.05244364890386,0.8423916101455688
10,801.3961213889456,-29.038472361956895,0.7856299877166748
