SRCNN,SRCNN Coord*,SubCNN,SubCNN Coord*,FSRCNN,FSRCNN Coord*,FSRCNN Coord Face Loss*,SRGAN,SRGAN Coord*,SRGAN FaceLoss*,SRGAN Coord FaceLoss*,Bicubic
62.50,64.58,68.75,70.83,66.67,66.67,64.58,85.42,81.25,85.42,81.25,58.33
66.67,70.83,64.58,66.67,72.92,66.67,68.75,81.25,79.17,83.33,81.25,66.67
83.33,85.42,66.67,68.75,83.33,89.58,89.58,75.00,81.25,83.33,79.17,83.33
26.56,26.56,23.99,21.61,33.88,31.50,33.88,39.01,38.83,48.72,53.66,26.74
23.99,31.32,28.94,16.85,26.56,26.56,26.56,45.97,36.45,48.72,38.64,26.56
58.06,50.92,41.39,43.77,51.10,55.86,55.86,67.95,72.71,67.95,67.95,55.49
40.00,36.67,40.00,40.00,46.67,46.67,40.00,70.00,76.67,83.33,86.67,46.67
40.00,56.67,46.67,43.33,43.33,43.33,33.33,63.33,76.67,76.67,80.00,40.00
66.67,56.67,60.00,60.00,80.00,73.33,80.00,70.00,73.33,70.00,70.00,66.67
74.89,78.22,64.67,67.33,72.00,78.22,78.44,85.78,83.80,85.11,84.89,83.11
61.78,62.89,55.33,58.44,60.22,64.00,63.33,77.33,78.40,78.22,76.00,62.00
64.67,67.11,57.56,62.22,65.56,69.11,67.33,72.00,68.90,71.78,71.11,62.44
